ProblemName;0;10;20;30;40;50;60;70;80;90;100
S198;164315;31685;28106;16389;16389;16367;16367;16367;16367;16367;16367
S292;278852;141730;77824;50642;36960;30901;28813;27605;27605;27605;27605
S124;94629;24625;15210;14113;14113;14113;14113;14113;14113;14113;14113
A53;21642;13179;13179;13179;13179;13179;13179;13179;13179;13179;13179
S170;159588;56354;28323;20890;19400;19400;19400;19400;19400;19400;19400
S100;135439;34944;23540;23358;23358;23358;23358;23358;23358;23358;23358
S299;697081;312546;151923;100404;71132;58567;53110;50961;50959;50959;50959
S222;214674;100147;43224;29135;21893;20084;20084;20084;20084;20084;20084
S91;64051;14806;11966;11966;11966;11966;11966;11966;11966;11966;11966
A48;43888;15636;15636;15636;15636;15636;15636;15636;15636;15636;15636
