100;403889
200;414043
300;396745
400;395457
500;388493
600;383083
700;400795
800;385710
900;396597
1000;396093
1100;375163
1200;388916
1300;395394
1400;391743
1500;389043
1600;391573
1700;391958
1800;396539
1900;398554
2000;400592
2100;383723
2200;389786
2300;397744
2400;382865
2500;391076
2600;383903
2700;385658
2800;396837
2900;385785
3000;395293
3100;392911
3200;380916
3300;387030
3400;389233
3500;394971
3600;391634
3700;388604
3800;388318
3900;388126
4000;388860
4100;388015
4200;387166
4300;387160
4400;379432
4500;375779
4600;392042
4700;394408
4800;391353
4900;380473
5000;393610
5100;382922
5200;392120
5300;385628
5400;382910
5500;376671
5600;383213
5700;383966
5800;384489
5900;386217
6000;388950
6100;389189
6200;360863
6300;372547
6400;382244
6500;387560
6600;372418
6700;384378
6800;387433
6900;384209
7000;384854
7100;378544
7200;375865
7300;392725
7400;385659
7500;388183
7600;388174
7700;384706
7800;386006
7900;387013
8000;385242
8100;391885
8200;383315
8300;375863
8400;386976
8500;383843
8600;390777
8700;387836
8800;386634
8900;385740
9000;381975
9100;388698
9200;385214
9300;378647
9400;384939
9500;385782
9600;384374
9700;369353
9800;380505
9900;384036
10000;381421
11000;372785
12000;386502
13000;386268
14000;372876
15000;387009
16000;383118
17000;378932
18000;377381
19000;374602
20000;375038
21000;374652
22000;372807
23000;366145
24000;376953
25000;388547
26000;372123
27000;377539
28000;378278
29000;380012
30000;384002
31000;375089
32000;369616
33000;373051
34000;386795
35000;379359
36000;366009
37000;371338
38000;374061
39000;374841
40000;377383
41000;378966
42000;378767
43000;375634
44000;376475
45000;373727
46000;370875
47000;375519
48000;378930
49000;377364
50000;371889
51000;379178
52000;380539
53000;382654
54000;376821
55000;375695
56000;366913
57000;375440
58000;372429
59000;378657
60000;377747
61000;372339
62000;377251
63000;379848
64000;378802
65000;360038
66000;357634
67000;377444
68000;376345
69000;378655
70000;373504
71000;376545
72000;375045
73000;378350
74000;370416
75000;372710
76000;375986
77000;377050
78000;374827
79000;376368
80000;377130
81000;375872
82000;368981
83000;374096
84000;377743
85000;370518
86000;374811
87000;376179
88000;372396
89000;367283
90000;377550
91000;369953
92000;379034
93000;375793
94000;373040
95000;372278
96000;373023
97000;372061
98000;366532
99000;371418
